percentage,time,cyan,magenta
0.0,0.0,0.017969508540243595,0.0009110511944006028
2.0,0.48,0.026572078187926618,0.0011125360328603229
4.0,0.96,0.03912855385966152,0.0013585199504289047
6.0,1.44,0.0572687273741459,0.0016588010801745767
8.0,1.92,0.08308997927107065,0.0020253203890499005
10.0,2.4,0.11907952744613137,0.002472623156634768
12.0,2.88,0.16779754296111227,0.0030184163247084506
14.000000000000002,3.36,0.23120063834488125,0.0036842398994358927
16.0,3.84,0.3096159517074013,0.004496273160941033
18.0,4.32,0.4007014605281136,0.005486298899450404
20.0,4.8,0.4990889488055994,0.006692850924284732
22.0,5.279999999999999,0.5973291401620231,0.008162571153159881
24.0,5.76,0.6879491607385626,0.009951801866904253
26.0,6.24,0.7655063671743092,0.012128434984274294
28.000000000000004,6.72,0.8275221119729834,0.01477403169327296
30.0,7.199999999999999,0.8741042270535977,0.01798620996209155
32.0,7.68,0.9068755016391732,0.02188127093613046
34.0,8.16,0.9279017924078583,0.026596993576865957
36.0,8.64,0.9389530062671052,0.03229546469845057
38.0,9.12,0.9411075417246835,0.039165722796764335
40.0,9.6,0.9345879168603417,0.047425873177566746
42.0,10.08,0.918733144672379,0.057324175898868734
44.0,10.559999999999999,0.8920869397271551,0.06913842034334672
46.0,11.04,0.8526626362000618,0.08317269649392234
48.0,11.52,0.7984996486591456,0.0997504891196852
50.0,12.0,0.72858595547337,0.1192029220221178
52.0,12.48,0.643997505145621,0.1418510649004876
54.0,12.959999999999999,0.5487214612796176,0.16798161486607555
56.00000000000001,13.44,0.44941997385368504,0.1978161114414183
57.99999999999999,13.92,0.3538434926671252,0.23147521650098213
60.0,14.399999999999999,0.2686060712395286,0.2689414213699943
62.0,14.879999999999999,0.19759129467118486,0.31002551887238283
64.0,15.36,0.14170035454242802,0.3543436937741702
66.0,15.84,0.09964945992577734,0.40131233988729376
68.0,16.32,0.06907069619372708,0.45016600268564266
70.0,16.8,0.047380475308864245,0.499999999986112
72.0,17.28,0.03226503314155016,0.5498339972098591
74.0,17.759999999999998,0.02186087184885066,0.5986876593541961
76.0,18.24,0.014760357684188374,0.645656300622999
78.0,18.72,0.009942635863184446,0.689974439728237
80.0,19.2,0.006686706749682525,0.7310582727277781
82.0,19.68,0.004492154589196273,0.7685225231747197
84.0,20.16,0.0030156555597580237,0.8021671871367335
86.0,20.64,0.0020234697912768773,0.8318949905579383
88.0,21.119999999999997,0.0013572794568879054,0.8572378839051116
90.0,21.599999999999998,0.0009102196663728357,0.8741042270535977
92.0,22.08,0.0006103219693758266,0.8528236377027483
94.0,22.56,0.00040919353518775736,0.6478858821360824
96.0,23.04,0.00027432770452695543,0.19980300102664827
98.0,23.52,0.00018390402223866786,-0.009898302721302099
