ID,name,STD_INTENSITY_CH1,SOLIDITY,STD_INTENSITY_CH2,STD_INTENSITY_CH3,QUALITY,POSITION_T,TOTAL_INTENSITY_CH3,TOTAL_INTENSITY_CH2,TOTAL_INTENSITY_CH1,CONTRAST_CH1,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_Y0,FRAME,CIRCULARITY,MEAN_INTENSITY_CH3,AREA,ELLIPSE_MAJOR,CONTRAST_CH3,CONTRAST_CH2,MEAN_INTENSITY_CH1,MAX_INTENSITY_CH2,MEAN_INTENSITY_CH2,MAX_INTENSITY_CH3,MAX_INTENSITY_CH1,MIN_INTENSITY_CH3,MIN_INTENSITY_CH2,MIN_INTENSITY_CH1,SNR_CH3,SNR_CH1,ELLIPSE_X0,SHAPE_INDEX,SNR_CH2,MEDIAN_INTENSITY_CH1,VISIBILITY,RADIUS,MEDIAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH3,POSITION_X,POSITION_Y,ELLIPSE_ASPECTRATIO,POSITION_Z,PERIMETER,ROI_N_POINTS,TRACK_ID,MEAN_INTENSITY_CH2_AVG,MEAN_INTENSITY_CH1_AVG,MEAN_INTENSITY_CH2_NORM,MEAN_INTENSITY_CH1_NORM,DISCRETE_PHASE_MAX,CELL_CYCLE_PERC,CELL_CYCLE_PERC_DTW,DTW_DISTANCE,DTW_DISTORTION,DTW_DISTORTION_REL,DTW_WARP,DTW_WARP_REL,CELL_CYCLE_PERC_DTW_POST,time,CELL_CYCLE_PERC_NORM
3679,ID3679,16.28628465172784,0.9891805249449004,30.216451994394564,0.0,29622.0,0.0,59244.0,4756105.0,2006507.0,-0.0498418894750329,5.986254459969786,0.329277151557525,0.0916432720870235,0,0.5934359860258906,2.0,135.8181473493399,7.249902179275878,0.3381922222640515,0.2435217608207663,67.73705354128688,276.0,160.5598879211397,2.0,131.0,2.0,64.0,15.0,inf,-0.4363479039054421,-0.0012982021042199,4.601696721892442,2.0811719770264463,67.0,1,6.575124259241166,161.0,2.0,145.1246376037693,6.893624617115635,1.211091547771003,0.0,53.62865361590718,474,13,159.61710409205287,67.5861176320743,0.13,0.06,G1,0.3482597863999217,15.207373271889402,0.1388058672347904,0.0,0.0,0.0,0.0,15.207373271889402,0.0,0.152073732718894
3678,ID3678,16.916501246139063,0.9910949509024788,121.76282346262596,0.0,45520.0,0.0,45520.0,21626025.0,3454059.0,-0.0143727246340735,7.948496429779715,2.903228214415985,0.0333561872152237,0,0.5860008260724129,1.0,208.7111628972368,8.282348808839314,1.0,0.7090569309734811,75.88003075571177,797.0,475.08842267135327,1.0,138.0,1.0,93.0,20.0,inf,-0.1308197577617495,0.0043932782315985,4.63079779573197,3.2375337883566053,76.0,1,8.150756192348416,489.0,1.0,131.3297267955598,108.9831260799137,1.042001953703947,0.0,66.90039112691423,632,12,477.7721077556423,75.73385733166305,0.52,0.08,G1,10.570426313848202,1.2672811059907838,0.0513512973910754,12.0,0.3636363636363636,6.0,0.1818181818181818,1.2240594275091543,0.0,0.0126728110599078
3709,ID3709,16.382639162732588,0.9813647190696368,64.49934977903857,0.0,7004.0,0.0,98056.0,1541986.0,504982.0,-0.013224564875144,2.5907150681921243,1.5646884279216833,0.0443722407600582,0,0.4123557456896033,14.0,32.113642023995006,6.149357591240065,0.7096826688364525,0.3247332754485119,72.09908623643632,424.0,220.15790976584807,14.0,128.0,14.0,53.0,23.0,inf,-0.1179611376578637,0.7864471515988566,5.520379149196656,1.6734290358470327,72.0,1,3.1972002967604087,227.0,14.0,160.69499371010022,139.82178187792354,2.373614013651939,0.0,31.28338127594577,136,11,266.1805863454608,71.40613709658327,0.26,0.07,G1,4.760095114404521,65.89861751152074,0.0367962911808661,47.0,1.146341463414634,13.0,0.3170731707317073,65.91604493329226,0.0,0.6589861751152074
3706,ID3706,16.26671102376413,0.9819967266775774,98.28761330376614,0.0,6300.0,0.0,81900.0,1856956.0,427679.0,-0.0113426473523163,2.3549211774730288,1.548532722289448,0.106756760353555,0,0.3944522025991652,13.0,28.88577166635756,6.027658523107815,0.6869959867759289,0.323133256641563,67.88555555555556,520.0,294.7549206349206,13.0,120.0,13.0,56.0,17.0,inf,-0.0957582608676299,0.7114752896730452,5.6442694636044575,1.4647730551163058,68.0,1,3.0322642845651235,309.0,13.0,160.80414641142403,32.47764418637339,2.559600967016592,0.0,30.335400025159515,130,10,335.9919374269175,69.83875119520206,0.34,0.06,G1,6.734733128545031,93.77880184331798,0.044491803202785,1157.0,28.21951219512195,35.0,0.8536585365853658,93.77421381579263,0.0,0.9377880184331798
3698,ID3698,98.8992991643015,0.9927010110736636,19.612953115567247,0.0,25773.0,0.0,257730.0,2844059.0,8646628.0,0.278560710772526,7.407822660598572,0.6119531327218831,2.595522468437512,0,0.5788574699088466,10.0,118.17031637413204,8.4744985642148,0.704807787712084,0.0839354807523184,335.49171613704266,186.0,110.35032786249177,10.0,648.0,10.0,48.0,90.0,inf,1.4781451745406653,0.3575838988380365,4.659283226827212,0.8713703600748541,324.0,1,6.133088940766513,109.0,10.0,138.34229716739185,158.21124560227128,1.1439931748487668,0.0,50.64928397057878,268,7,115.42371033191546,341.1294776508655,0.08,0.79,S/G2/M,55.0,93.77880184331798,0.0307508712911548,772.0,18.82926829268293,38.0,0.926829268292683,93.76923206895394,0.0,0.9377880184331798
3692,ID3692,48.86772625261333,0.9847915210368212,131.39259929105205,0.0,26063.0,0.0,208504.0,14513677.0,3896577.0,-0.0144966744187967,5.877624578041751,0.1004964063529115,-0.003392535572646,0,0.6722385639732911,8.0,119.4999788794088,7.55948170042594,0.6024696260335475,0.3286915846869869,149.5060814181023,854.0,556.8690097072479,8.0,392.0,8.0,164.0,38.0,inf,-0.09000715055347,0.8334670668434028,4.323577226351992,2.0968943134534936,141.0,1,6.167497440296996,586.0,8.0,156.47249163430533,62.90955950584844,1.2861457209545923,0.0,47.26363664634224,240,5,554.7164425534322,171.5538477946436,0.61,0.34,G1/S,37.70765267758094,95.04608294930875,0.0433408389721002,1521.0,37.09756097560975,39.0,0.951219512195122,,0.0,0.9504608294930876
3690,ID3690,98.33993162966728,0.9859887910328268,57.4142381592666,0.0,27093.0,0.0,189651.0,7769283.0,11312042.0,0.4748912496651617,5.163627872362278,1.3875814823548474,-0.0320858947730748,0,0.5988585704796964,7.0,124.2225732947022,7.8634669306147105,0.8065756530326147,0.3272256905591522,417.5263721256413,487.0,286.7634813420441,7.0,669.0,7.0,78.0,108.0,inf,2.7341237909856164,-0.0261942916057087,4.5808154702433495,2.462843675519183,434.0,1,6.288185204563734,294.0,7.0,136.79313315055143,71.0151279114729,1.5228570154528387,0.0,51.055561649487046,380,4,283.7752220424736,418.2855984008376,0.28,1.0,G1/S,44.2685877698961,91.2442396313364,0.0361813934781326,641.0,17.324324324324323,29.0,0.7837837837837838,,0.0,0.912442396313364
3687,ID3687,69.37646405611802,0.9888725865717956,23.35344092298134,0.0,38080.0,0.0,228480.0,5147216.0,13470769.0,0.265533691924585,6.59716286046138,1.5073429103667848,0.0083013502146072,0,0.6207514917870882,6.0,174.59844207220516,8.60064040578202,0.5506832766057084,-0.1417647962313267,353.7491859243697,300.0,135.168487394958,6.0,571.0,6.0,58.0,143.0,inf,2.1397311330531243,-0.0103737121713167,4.499311338528196,-1.9121266023078625,357.0,1,7.4549587674158735,134.0,6.0,150.11154721884714,80.9350390967658,1.303687749976287,0.0,59.45196701359379,458,3,239.3937750430579,302.2776454215937,0.23,0.69,G1/S,45.51239624449005,96.31336405529954,0.0647544842935427,1024.0,30.11764705882353,32.0,0.9411764705882352,,0.0,0.9631336405529954
3683,ID3683,16.38180556338566,0.9890818472081612,31.520687256951582,0.0,31752.0,0.0,158760.0,5322809.0,2180372.0,-0.0110738563240221,5.843873359339202,2.4039225168140765,-0.0001306607604341,0,0.5876605354933445,5.0,145.58428919844172,7.960914174718425,0.9418006135907288,0.3281611456880124,68.66880826404636,285.0,167.63696775006298,5.0,130.0,5.0,67.0,14.0,inf,-0.09387777014094,-0.0078875403187623,4.624253870616807,2.628091625823837,68.0,1,6.807416435396329,168.0,5.0,151.23327901295193,20.13177211693558,1.3622667168165,0.0,55.79546790341858,484,2,170.7180250962575,68.95828497839267,0.15,0.06,G1,1.206682255331998,1.2672811059907838,0.0639923842353418,29.0,1.318181818181818,7.0,0.3181818181818182,,0.0,0.0126728110599078
3681,ID3681,20.40188350034242,0.9904246571708968,83.16427848431887,0.0,37340.0,0.0,149360.0,12931404.0,3165998.0,-0.211725985886749,6.512889616432957,1.4796091152299569,-0.0311204293322891,0,0.6142728384452079,4.0,171.20551016218852,8.468030859640878,0.5299072488608836,0.387781649916481,84.78837707552223,594.0,346.3150508837708,4.0,212.0,4.0,91.0,21.0,inf,-2.2325079221692707,0.0403265364112404,4.522975922380039,2.327183620363932,83.0,1,7.382168140442484,350.0,4.0,141.45851444720364,55.41305840345117,1.3001956671083168,0.0,59.18111522765487,478,1,388.0695712778101,101.11134658708332,0.41,0.15,G1/S,41.53208128906505,1.2672811059907838,0.0453495339369209,88.0,2.1463414634146343,16.0,0.3902439024390244,,0.0,0.0126728110599078
